	differentiation	differentiation	differentiation	differentiation	lower	lower	lower	lower	upper	upper	upper	upper	upper_vs_lower	upper_vs_lower	upper_vs_lower	upper_vs_lower
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1
	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene																
AADACL2	0.20833603211024676	-7.664094452453308	4	4	0.7172975569028444	-0.5310875071391035	1	1	0.8836548878029263	0.015236145964797387	2	2	0.15765002101829084	4.21547045362641	1	1
AADAT	0.31197139615664493	-0.8312148050161762	5	5	0.9413482612877725	10.975865217663502	5	5	0.4493873843012053	-6.381563550471398	4	4	0.25202305813534265	-14.21689621091957	4	4
AAK1	0.07566461480548407	1.9856428212303843	5	5	0.6683101394278768	2.191790156472264	5	5	0.9554171582152255	-2.5842536636986693	5	5	0.7908534206355673	-0.46493778317671364	4	4
AANAT	0.3522641420139655	-8.344501973373724	5	5	0.9394967534281049	8.018961404358828	2	2	0.6484021792868002	2.2659172463725152	3	3	0.9296012604540266	-2.300402699706145	2	2
AARS			0	0			0	0			0	0			0	0
AARS2	0.3396067108343581	-7.095771237365894	4	4	0.4394782542048904	9.323441906013825	1	1	0.1315766691717824	5.7806651792352834	2	2	0.8408646898041267	-2.646538117946914	2	2
AASS	0.6654237100494569	-6.252343608255249	5	5	0.8397134185947867	3.213005095544722	3	3	0.36355112321290184	0.9574535135468545	4	4	0.44052455086533027	-0.21384825362643292	3	3
AATK	0.9182289012525874	-6.408061934014157	5	5	0.9342596937976486	4.8258298730594555	4	4	0.5279686378321821	-3.063037634833556	4	4	0.8158285203497877	-2.729272197060151	2	2
ABAT	0.3568205243874486	-1.6835770475750753	10	10	0.08778784567476171	9.58211487095555	9	9	0.5016918152002935	-10.922875748998747	9	9	0.29448052965034655	-6.437345051619407	6	6
ABCC2	0.4477936482065803	-2.362866744927807	5	5	0.32377447845990626	9.347201278428138	2	2	0.7047686197169705	0.5592869388809767	1	1	0.31540859306047697	-7.90610672177996	2	2
ABCC8	0.9826255130967373	-3.04420740027614	5	5	0.8651473251322472	3.2731079630877726	4	4	0.9607315985272517	-1.7950375583186415	4	4	0.8700179988420107	-3.6874826961184985	4	4
ABCC9	0.3031224717892561	-8.42296048364202	5	5	0.8441079932691453	5.31534863235225	3	3	0.25864720069753244	3.718880584661973	3	3	0.5133369238656149	-0.025208573310512367	3	3
ABCE1	0.34744966791486587	1.352291256878835	3	3	0.5482937102908108	-0.7826759830266994	2	2	0.9037800801438477	-3.474934519176719	2	2	0.12119836050275437	4.357914718646616	1	1
ABCG1	0.4330477647779224	-3.905128091522426	5	5	0.5250157796189969	11.230679309462134	4	4	0.23912498275932104	3.450238146875336	4	4	0.7821734453778042	-6.322560955524577	4	4
