	differentiation	lower	upper	upper_vs_lower
	Rep1	Rep1	Rep1	Rep1
sgId				
AADACL2_+_151451732.23-P1P2	-8.12884857508335			
AADACL2_+_151451926.23-P1P2	-7.543886074362194			
AADACL2_+_151452121.23-P1P2	-7.536773348167628		9.798817602748644	2.7779370237742267
AADACL2_-_151451828.23-P1P2	-0.23240122478513003	-0.4813940282865268	-8.1510230368956	
AADACL2_-_151451961.23-P1P2				
AADAT_+_171010904.23-P1P2	0.3191790727341975	8.821472869830952	-8.11541101093011	-16.77856828248748
AADAT_+_171010929.23-P1P2	-0.3367244657684093	-0.9275848412021208	-7.597213849811193	
AADAT_+_171011392.23-P1P2	1.3071198799616448	-2.3534844234199372	0.6159719058035726	3.1277257631414574
AADAT_-_171011321.23-P1P2	-6.949107449284653	17.7159732111723		-20.507522062897092
AADAT_-_171011368.23-P1P2	3.2109016338768956	6.596972403902231	-3.514645130096843	-9.953301935725491
AAK1_+_69870290.23-P1P2	0.08415503123383061	9.179372535055307	0.7965061410344367	-8.224550795747287
AAK1_+_69870701.23-P1P2	0.7750680167302897	0.2158183902930073	1.3963762193297073	1.3388734273102827
AAK1_-_69870541.23-P1P2	2.167364573039655	-0.5555134429778406	-0.7199925326437804	-0.006163491392358722
AAK1_-_69870791.23-P1P2	-0.02979280087768027	0.2763186441461034	0.9657070491596125	0.8477040032870917
AAK1_-_69870794.23-P1P2	2.907785936281888	-1.8715594423618924	-10.127057451904724	
AANAT_+_74463718.23-P1P2	-9.650970202234275			
AANAT_+_74463735.23-P1P2	-7.355154947666045	17.935335475620924	8.973091541910106	-8.80392833543724
AANAT_+_74464088.23-P1P2	2.1770097965324915	-2.023743881422277	-10.278335390752506	
AANAT_-_74464175.23-P1P2	0.6430629533437195	0.7964520811760387	1.9110943815115284	1.2729578986090715
AANAT_-_74464185.23-P1P2	-8.331510362937662			
AARS2_+_44280650.23-P1P2	0.1434992232285977	9.402216813286682	1.0582376906010345	-8.185663524412066
AARS2_+_44281006.23-P1P2	-8.07093999705535		10.583708631391431	-0.022134448304141685
AARS2_+_44281027.23-P1P2	-6.399745098690115			
AARS2_+_44281044.23-P1P2				
AARS2_+_44281056.23-P1P2	-7.005466159578068			
AARS_+_70323318.23-P1P2				
AARS_+_70323322.23-P1P2				
AARS_+_70323353.23-P1P2				
AARS_+_70323362.23-P1P2				
AARS_-_70323332.23-P1P2				
AASS_+_121784000.23-P1P2	-9.449830330126423			
AASS_+_121784219.23-P1P2	0.9108993843982409	10.35623284240747	1.1641163508981391	-9.03380089323575
AASS_+_121784247.23-P1P2	-6.751471740855792		9.949605769133655	2.0807282836042873
AASS_-_121784277.23-P1P2	-2.7107595334257306	0.9030717719737611	2.661104801508591	1.9163486278084108
AASS_-_121784328.23-P1P2	0.6690267366359629	-1.4861397399371779	-9.740731249267407	
AATK_+_79139571.23-ENST00000326724.4	1.4342373532007127	-1.7246856684881813	-9.97927717781841	
AATK_+_79139589.23-ENST00000326724.4	-7.6918866459811674	17.529361884622322	8.67044703047823	-8.70059925587051
AATK_+_79139592.23-ENST00000326724.4	1.836563272128566	-0.8927768738240083	-1.2157866235357018	-0.1646941514381126
AATK_-_79139586.23-ENST00000326724.4	-9.716961066228155			
AATK_-_79139956.23-ENST00000326724.4	-1.9815062606338871	0.3547677418314521	-7.899823767498777	
ABAT_+_8768492.23-P1	0.3345527056201726	10.29239858867837	-0.392984491245256	-10.527067481650043
ABAT_+_8768682.23-P1	0.6481754738225098	-1.8670183777348246	-10.121609887065054	
