	Diff	Lower	Upper
	Rep1	Rep1	Rep1
sgId			
AADACL2_+_151451732.23-P1P2	0	0	0
AADACL2_+_151451926.23-P1P2	0	0	0
AADACL2_+_151452121.23-P1P2	0	0	0
AADACL2_-_151451828.23-P1P2	1180	2	1
AADACL2_-_151451961.23-P1P2	0	0	0
AADAT_+_171010904.23-P1P2	1938	1962	5
AADAT_+_171010929.23-P1P2	784	1	3
AADAT_+_171011392.23-P1P2	2145	0	2319
AADAT_-_171011321.23-P1P2	0	0	0
AADAT_-_171011368.23-P1P2	7318	1636	450
AAK1_+_69870290.23-P1P2	1973	2653	2409
AAK1_+_69870701.23-P1P2	2922	8	5346
AAK1_-_69870541.23-P1P2	2480	4	1059
AAK1_-_69870791.23-P1P2	2072	5	2860
AAK1_-_69870794.23-P1P2	1547	0	0
AANAT_+_74463718.23-P1P2	0	0	0
AANAT_+_74463735.23-P1P2	0	0	0
AANAT_+_74464088.23-P1P2	1713	0	1
AANAT_-_74464175.23-P1P2	0	0	0
AANAT_-_74464185.23-P1P2	0	0	0
AARS2_+_44280650.23-P1P2	1425	2236	2050
AARS2_+_44281006.23-P1P2	0	0	0
AARS2_+_44281027.23-P1P2	0	0	0
AARS2_+_44281044.23-P1P2	0	0	0
AARS2_+_44281056.23-P1P2	0	0	0
AARS_+_70323318.23-P1P2	0	0	0
AARS_+_70323322.23-P1P2	0	0	0
AARS_+_70323353.23-P1P2	0	0	0
AARS_+_70323362.23-P1P2	0	0	0
AARS_-_70323332.23-P1P2	0	0	0
AASS_+_121784000.23-P1P2	0	0	0
AASS_+_121784219.23-P1P2	1413	4323	2255
AASS_+_121784247.23-P1P2	0	0	0
AASS_-_121784277.23-P1P2	448	2	2007
AASS_-_121784328.23-P1P2	1165	0	0
AATK_+_79139571.23-ENST00000326724.4	1392	0	0
AATK_+_79139589.23-ENST00000326724.4	0	0	0
AATK_+_79139592.23-ENST00000326724.4	4464	5	1634
AATK_-_79139586.23-ENST00000326724.4	0	0	0
AATK_-_79139956.23-ENST00000326724.4	325	1	1
ABAT_+_8768492.23-P1	2007	5765	1062
ABAT_+_8768682.23-P1	1565	1	0
ABAT_+_8807445.23-P2	1178	1583	3988
ABAT_+_8807450.23-P2	6803	2	2
ABAT_+_8807464.23-P2	3903	0	0
ABAT_+_8807492.23-P2	0	0	0
ABAT_+_8807696.23-P2	1878	2	3355
ABAT_-_8768504.23-P1	1985	0	1006
ABAT_-_8768523.23-P1	762	1306	3946
ABAT_-_8768533.23-P1	1239	0	2548
ABCC2_+_101542515.23-P1P2	0	0	0
ABCC2_+_101542910.23-P1P2	0	0	0
ABCC2_+_101542914.23-P1P2	0	0	0
ABCC2_+_101542981.23-P1P2	1415	3	1472
ABCC2_-_101542808.23-P1P2	0	0	0
ABCC8_+_17497953.23-P1P2	1278	8812	10
ABCC8_+_17498387.23-P1P2	1924	3	1420
ABCC8_-_17497979.23-P1P2	575	2	1589
ABCC8_-_17497997.23-P1P2	809	0	315
ABCC8_-_17498220.23-P1P2	0	0	0
ABCC9_+_22093672.23-P1P2	1491	3	2765
ABCC9_+_22093678.23-P1P2	0	0	0
ABCC9_+_22093937.23-P1P2	0	0	0
ABCC9_+_22093941.23-P1P2	1208	1	824
ABCC9_+_22094309.23-P1P2	0	0	0
ABCE1_+_146019317.23-P1P2	0	0	0
ABCE1_+_146019463.23-P1P2	1128	0	0
ABCE1_+_146019842.23-P1P2	437	1	1989
ABCE1_-_146019502.23-P1P2	0	0	0
ABCE1_-_146019516.23-P1P2	0	0	0
ABCG1_+_43639544.23-P1P2	3859	3	4864
ABCG1_+_43639681.23-P1P2	0	0	0
ABCG1_-_43639282.23-P1P2	4754	2375	5631
ABCG1_-_43639541.23-P1P2	3021	2984	3008
ABCG1_-_43639626.23-P1P2	0	0	0
ABL1_+_133589617.23-ENST00000372348.2	782	0	1
ABL1_+_133589629.23-ENST00000372348.2	0	0	0
ABL1_+_133589636.23-ENST00000372348.2	1444	0	1564
ABL1_-_133589228.23-ENST00000372348.2	829	2451	2
ABL1_-_133589268.23-ENST00000372348.2	1280	4448	2
ABL2_+_179112168.23-P1	1447	562	0
ABL2_+_179112186.23-P1	0	0	0
ABL2_+_179198340.23-P2	3085	3	939
ABL2_+_179198398.23-P2	1235	1	1824
ABL2_+_179198565.23-P2	1452	0	3116
ABL2_+_179198740.23-P2	1309	3	3
ABL2_-_179112151.23-P1	0	0	0
ABL2_-_179112154.23-P1	0	0	0
ABL2_-_179112158.23-P1	1542	2	1942
ABL2_-_179198834.23-P2	1733	0	1465
ABO_+_136150190.23-P1	1401	2120	1657
ABO_+_136150601.23-P1	1384	8426	7499
ABO_-_136130692.23-P2	4728	7345	1656
ABO_-_136130921.23-P2	1470	1	1843
ABO_-_136130955.23-P2	1508	3	0
ABO_-_136130959.23-P2	0	0	0
ABO_-_136130966.23-P2	0	0	0
ABO_-_136150219.23-P1	0	0	0
ABO_-_136150600.23-P1	787	3368	3086
ABO_-_136150606.23-P1	1464	0	996
ACACA_+_35715534.23-P1P2	3243	4549	2
ACACA_+_35715655.23-P1P2	0	0	0
ACACA_-_35715847.23-P1P2	0	0	0
ACACA_-_35715992.23-P1P2	0	0	0
ACACA_-_35716002.23-P1P2	0	0	0
ACACB_+_109569160.23-P1	0	0	0
ACACB_+_109569170.23-P1	5702	3	1523
ACACB_+_109592574.23-P2	1274	1	2
ACACB_+_109592655.23-P2	0	0	0
ACACB_+_109592908.23-P2	0	0	0
ACACB_-_109569178.23-P1	414	0	2
ACACB_-_109569231.23-P1	1546	1	1
ACACB_-_109569639.23-P1	2140	6103	0
ACACB_-_109592496.23-P2	1531	1	713
ACACB_-_109592519.23-P2	813	0	1
ACAD8_+_134123511.23-P1P2	3538	2	1869
ACAD8_-_134123448.23-P1P2	1027	0	1328
ACAD8_-_134123455.23-P1P2	1102	2	1
ACAD8_-_134123502.23-P1P2	0	0	0
ACAD8_-_134123507.23-P1P2	0	0	0
ACADSB_+_124768874.23-P1P2	1336	4707	1945
ACADSB_+_124768891.23-P1P2	0	0	0
ACADSB_+_124768941.23-P1P2	1216	2564	1
ACADSB_+_124768944.23-P1P2	0	0	0
ACADSB_-_124768552.23-P1P2	2092	10993	5
ACADS_+_121163685.23-P1P2	5295	19960	7
ACADS_+_121164090.23-P1P2	0	0	0
ACADS_-_121163653.23-P1P2	2518	3930	4674
ACADS_-_121163657.23-P1P2	1267	3275	1856
ACADS_-_121163671.23-P1P2	26	10986	5186
ACAN_+_89347139.23-P1P2	533	1	0
ACAN_+_89347148.23-P1P2	0	0	0
ACAN_+_89347151.23-P1P2	0	0	0
ACAN_-_89346701.23-P1P2	0	0	0
ACAN_-_89347101.23-P1P2	1369	4	3442
ACAT1_+_107992288.23-P1P2	0	0	0
ACAT1_+_107992310.23-P1P2	1613	10	5589
ACAT1_+_107992321.23-P1P2	2439	3	3
ACAT1_-_107992364.23-P1P2	1197	0	3345
ACAT1_-_107992733.23-P1P2	3115	4741	4171
ACAT2_+_160183436.23-P1P2	0	0	0
ACAT2_+_160183505.23-P1P2	2825	1	1
ACAT2_-_160183054.23-P1P2	0	0	0
ACAT2_-_160183095.23-P1P2	1312	1	0
ACAT2_-_160183174.23-P1P2	887	0	855
ACCS_+_44087946.23-P1P2	633	1	3802
ACCS_+_44088028.23-P1P2	628	2	0
ACCS_+_44088091.23-P1P2	4435	5468	3479
ACCS_+_44088215.23-P1P2	0	0	0
ACCS_-_44088090.23-P1P2	1040	4356	3
ACE2_+_15619016.23-P1P2	0	0	0
ACE2_+_15619087.23-P1P2	988	1	1
ACE2_-_15618594.23-P1P2	0	0	0
ACE2_-_15618975.23-P1P2	0	0	0
ACE2_-_15619013.23-P1P2	3075	1	2
ACE_+_61554448.23-P1	3218	4	1618
ACE_+_61554829.23-P1	5302	2138	1358
ACE_+_61562272.23-P2	1442	0	1279
ACE_+_61562293.23-P2	0	0	0
ACE_-_61554428.23-P1	1894	4	2204
ACE_-_61554458.23-P1	5464	3	5209
ACE_-_61554461.23-P1	2725	4189	4610
ACE_-_61562238.23-P2	6059	2	0
ACE_-_61562443.23-P2	4305	3	2
ACE_-_61562661.23-P2	0	0	0
ACHE_+_100493456.23-P1	2045	7028	10171
ACHE_+_100493473.23-P1	983	0	0
ACHE_+_100494559.23-P2	1625	2236	3
ACHE_+_100494570.23-P2	3430	2584	87
ACHE_-_100493122.23-P1	0	0	0
ACHE_-_100493427.23-P1	0	0	0
ACHE_-_100493486.23-P1	1556	2	551
ACHE_-_100494233.23-P2	2902	1	2
ACHE_-_100494236.23-P2	1014	2	2226
ACHE_-_100494578.23-P2	2412	6	5059
ACOT13_+_24667341.23-P1P2	3661	5648	4
ACOT13_-_24667329.23-P1P2	1874	3927	1609
ACOT13_-_24667371.23-P1P2	1327	0	1
ACOT13_-_24667386.23-P1P2	0	0	0
ACOT13_-_24667473.23-P1P2	2724	2626	2997
ACOX1_+_73975227.23-P1P2	0	0	0
ACOX1_-_73975169.23-P1P2	2307	8231	1989
ACOX1_-_73975193.23-P1P2	3190	2	3
ACOX1_-_73975196.23-P1P2	1190	0	2
ACOX1_-_73975245.23-P1P2	3440	4127	4
ACP1_+_264980.23-P1P2	3611	2	1185
ACP1_+_265303.23-P1P2	0	0	0
ACP1_-_264967.23-P1P2	842	3962	3098
ACP1_-_264970.23-P1P2	0	0	0
ACP1_-_265107.23-P1P2	3080	2336	2
ACP2_+_47270320.23-P1P2	0	0	0
ACP2_+_47270332.23-P1P2	0	0	0
ACP2_-_47269915.23-P1P2	2887	1	1747
ACP2_-_47269958.23-P1P2	1239	0	0
ACP2_-_47270385.23-P1P2	0	0	0
ACP5_+_11688472.23-P1	1653	0	728
ACP5_-_11688086.23-P1	1261	2	1203
ACP5_-_11688414.23-P1	2949	4827	2822
ACP5_-_11688437.23-P1	753	2921	3019
ACP5_-_11688455.23-P1	954	4582	1
ACP5_-_11689356.23-P2	0	0	0
ACP5_-_11689724.23-P2	2081	3	3500
ACP5_-_11689727.23-P2	2667	6	2895
ACP5_-_11689744.23-P2	0	0	0
ACP5_-_11689771.23-P2	2510	1	1378
ACP6_+_147141956.23-P1P2	3764	5183	1074
ACP6_+_147142159.23-P1P2	0	0	0
ACP6_-_147142348.23-P1P2	1721	1350	0
ACP6_-_147142356.23-P1P2	2505	4936	1876
ACP6_-_147142393.23-P1P2	2071	4764	1966
ACPP_+_132036268.23-P1P2	0	0	0
ACPP_+_132036293.23-P1P2	1213	2	1
ACPP_+_132036338.23-P1P2	0	0	0
ACPP_+_132036504.23-P1P2	1516	0	1207
ACPP_+_132036703.23-P1P2	1497	1	1
ACPT_+_51293697.23-ENST00000270593.1	2813	5991	1761
ACPT_+_51293761.23-ENST00000270593.1	0	0	0
ACPT_+_51294074.23-ENST00000270593.1	0	0	0
ACPT_-_51293910.23-ENST00000270593.1	0	0	0
ACPT_-_51294122.23-ENST00000270593.1	0	0	0
ACSL1_+_185746700.23-P1P2	1527	1	0
ACSL1_+_185747071.23-P1P2	1475	3	0
ACSL1_+_185747074.23-P1P2	2165	1	3
ACSL1_+_185747085.23-P1P2	0	0	0
ACSL1_-_185746686.23-P1P2	850	6	4479
ACSL3_+_223725692.23-P1P2	0	0	0
ACSL3_+_223726215.23-P1P2	1273	1	1
