	lower	lower	lower	lower	upper	upper	upper	upper
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1
	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene								
AADACL2	0.8589979437444121	-0.22272256505762655	1	1	0.6730842768180696	-7.54550243204755	1	1
AADAT	0.7791226096073944	4.613658413333316	4	4	0.9430073676617658	-5.803569392097998	4	4
AAK1	0.9608922440417247	2.7867153755087397	5	5	0.39355324224003907	-1.9828041229570836	5	5
AANAT	0.5363972291543394	-0.3549744368942189	2	2	0.9937556505148506	-3.5780998997724387	2	2
AARS			0	0			0	0
AARS2	0.2765485113628292	9.660888276515582	1	1	0.23922287638083872	1.6637582954490853	1	1
AASS	0.532460476336369	3.5163930880435843	3	3	0.3021041369273253	-1.3663160941055086	3	3
AATK	0.5578521202528135	-0.4955601369313453	3	3	0.3081119401062373	-5.759441918102912	3	3
ABAT	0.20638410446773292	9.94457480342937	9	9	0.6440051481931246	-10.148698051825143	9	9
ABCC2	0.8940056217363023	0.11995260809615971	1	1	0.3744062159409218	1.194253109910958	1	1
ABCC8	0.5271152883335497	3.985863593841224	4	4	0.4446297085088885	-0.8849664760284769	4	4
ABCC9	0.9313962573846465	0.24449741259744862	2	2	0.23730176970060723	1.2910355021025288	2	2
ABCE1	0.7601970723197148	-0.4841909943170988	2	2	0.6668744210348194	-2.881443392576073	2	2
ABCG1	0.7792645967221339	5.221020205977716	3	3	0.117112979797992	1.3010370079128089	3	3
ABL1	0.5128459217451151	6.61995683855582	4	4	0.7248730595631728	-7.949847072912765	4	4
ABL2	0.12347148023870472	1.4197615286555927	7	7	0.3736683396729993	-4.845240300801302	7	7
ABO	0.1664022274422151	10.800355478165464	7	7	0.14035568447084446	-0.9544053355244267	7	7
ACACA	0.35099455986084405	9.526423615527403	1	1	0.3625818713444412	-9.004285696974188	1	1
ACACB	0.2046067324440931	2.3322374529533962	7	7	0.0928797020663118	-9.373242000808434	7	7
ACAD8	0.24632180384135116	-0.9834583956214663	3	3	0.918820829358273	-2.4485731609064234	3	3
ACADS	0.005866834013712206	13.054824233248532	4	4	0.0812866584697333	0.7680288294863783	4	4
ACADSB	0.016047269694828406	10.78698701044867	3	3	0.8087351892566463	-5.156739948658962	3	3
ACAN	0.9750264261392703	0.024328633561650825	2	2	0.5363969132522755	-2.7789947156068626	2	2
ACAT1	0.8906500801216473	3.282032272039815	4	4	0.10474235589851337	-1.0397131373195585	4	4
ACAT2	0.1610981990530851	-1.229349070318446	3	3	0.24116874517782105	-6.207810755540453	3	3
ACCS	0.24146059983595336	7.015510972093298	4	4	0.5636534392210429	-3.972310162811084	4	4
ACE	0.22929090159214005	4.927586761721876	8	8	0.9296066737032853	-6.541371768887444	8	8
ACE2	0.1121236941764739	-1.800238466047209	2	2	0.13092639557352576	-9.207980833758288	2	2
ACHE	0.48693331026450326	9.634542537914568	8	8	0.6867348923952104	-8.774453122938306	8	8
ACOT13	0.28852701158748395	9.560643263993997	4	4	0.8559940164633577	-5.606839978238512	4	4
ACOX1	0.8993494967975161	6.162156317233557	4	4	0.464533013813055	-8.425554371858539	4	4
ACP1	0.41487040287641996	6.207063437179502	3	3	0.7890550867689189	-2.145844270478029	3	3
ACP2	0.08653993621620056	-1.8995457240329001	2	2	0.5784426169079073	-4.395604471720862	2	2
ACP5	0.7037638550052745	10.659030904683334	8	8	0.09476654617270479	-0.7625076837049284	8	8
ACP6	0.04356721728795325	9.886549316419169	4	4	0.9956122387548506	-2.4686870987399376	4	4
ACPP	0.07872974038930784	-1.478535944752739	3	3	0.3266065177957045	-5.959822480735522	3	3
ACPT	0.20560065206805456	10.10976867323517	1	1	0.7898733794345347	0.45335995751379915	1	1
ACSL1	0.364206397848554	-0.6329707379049975	4	4	0.4188644811189639	-9.14167194692113	4	4
ACSL3	0.6013707310284644	1.9227590629163436	4	4	0.22007172717785572	-8.569785539513083	4	4
ACSL4	0.49953979782742153	5.723787427588635	3	3	0.7023153149906041	-2.372576853503785	3	3
ACSS2	0.2630772782954398	-1.0821892060067677	2	2	0.4112179464629011	0.4664491511252875	2	2
ACTA1	0.43485679423405577	5.851007553245101	6	6	0.2943400581267732	-9.545260885583149	6	6
ACTR2	0.09147384018172652	-2.9651443830980977	1	1	0.08728778618596213	-10.872886750809178	1	1
ACVR1	0.6668746637301395	-0.3376727114841751	2	2	0.9189624577693689	-3.812548443769374	2	2
ACVR1B	0.5363972291543394	4.789724731532538	2	2	0.26307690821799	-8.652154864038796	2	2
ACVR1C	0.8326472970175447	-0.3920789616056126	2	2	0.6782962241406417	-3.1629720873158815	2	2
ACVR2A	0.1894498328982821	-1.1727821708165589	3	3	0.8784938834783411	-4.981642878235805	3	3
ACVR2B	0.4446329390008258	6.4146657976912556	3	3	0.4148700479863273	0.9366447895761668	3	3
ACVRL1	0.7223650252766525	-0.5714944627267933	1	1	0.5787877329810506	-7.894274329716715	1	1
ACY1	0.36571337696523953	6.274992473008216	3	3	0.5838185475743407	-1.8060650946965584	3	3
ACY3	0.758157860602167	9.845044707016113	6	6	0.6393949374816166	-5.442888245144178	6	6
ACYP2	0.8285371673906146	0.23135118395916118	3	3	0.6556720879670175	-2.0134527633231785	3	3
ADAM33	0.05635948247932508	-1.5379622894340532	4	4	0.0046239837485035195	-9.958814130454344	4	4
ADAMTS5	0.18506394353174127	7.401741306536832	4	4	0.847370554516281	-5.162598030172481	4	4
ADC	0.35900018778802656	6.3154966495017355	3	3	0.0877948836890824	-8.915182921912477	3	3
ADCK1	0.41007009710992715	9.874178844150284	5	5	0.3827694472626053	-9.019319765599846	5	5
ADCK2	0.40631871961989585	1.9727866386498867	4	4	0.6167697618314851	-5.528189821582489	4	4
ADCK3	0.43708023410498653	6.023089165893719	3	3	0.164939580559595	1.1794133879315383	3	3
ADCK4	0.06110106057987569	-1.5598421383377836	3	3	0.42219815884497036	-5.672690269155411	3	3
ADCK5	0.979672280861877	2.3545830333022906	3	3	0.5578518207127253	-5.412592225420574	3	3
ADH1B			0	0			0	0
ADH1C	0.7117873195444471	2.3949882184646594	3	3	0.8087351892566463	-0.005076759765533012	3	3
ADH4	0.712998767949636	4.898085799130882	2	2	0.29792840734862447	-8.027743374856938	2	2
ADH5	0.13092669416064726	-1.5350701659968058	2	2	0.8083055560149774	-4.041958354249653	2	2
ADK	0.5174713997989282	1.882040830594739	5	5	0.8830515558026772	-5.2734411574413995	5	5
ADORA1	0.5158638964299583	1.8851742234337536	3	3	0.9390695392249732	-2.340269244299774	3	3
ADORA2A	0.15361812719099233	6.792322377910445	3	3	0.4677320318260033	-1.8208108570163262	3	3
ADORA2B	0.8384799433425073	2.4659755366264595	3	3	0.7213035919898935	-2.360026560408541	3	3
ADORA3	0.6378365043999737	4.885075354123497	5	5	0.5111453284998759	-3.2893372520401436	5	5
ADRA1A	0.6639674473228165	1.7924868265589076	4	4	0.9780638473664575	-5.418308460699464	4	4
ADRA1B	0.9342578635035359	5.604713867026489	4	4	0.8130690316228988	-3.002587904803455	4	4
ADRA1D	0.3879258844856739	7.135350990651354	4	4	0.29863631539450697	-1.3174849512617703	4	4
ADRA2A	0.07938491935410127	-1.9598669724209354	4	4	0.22845806440505245	-9.534276006798681	4	4
ADRA2B	0.8083057017325583	-0.33828011709661254	2	2	0.975026406784861	-3.802738701795987	2	2
ADRA2C	0.444630048389984	-0.7059014789331783	4	4	0.6401865205788645	-4.406572841995659	4	4
ADRB1	0.09786785367561353	9.297621646576928	4	4	0.08721535493501176	1.1742420540367955	4	4
ADRB2	0.8598837070693798	5.061257826983277	5	5	0.7462225067258876	-5.753308591829327	5	5
ADRB3	0.8025306604293183	6.637938124032183	5	5	0.010188048957713844	2.650727949428608	5	5
ADRBK1	0.7792645967221339	2.659604960546517	3	3	0.9796722654035478	-2.5417457009925353	3	3
ADRBK2	0.8387654471035386	5.143664175257492	4	4	0.48492244575925647	-0.6129780563952614	4	4
ADSSL1	0.7987412378077022	5.49880298030268	5	5	0.9843516206890774	-2.614180228905148	5	5
AFG3L2			0	0			0	0
AGTR1	0.42960193548417813	-0.7700554231489883	3	3	0.8885502726804506	-5.003675186517248	3	3
AGTR2	0.10190722439296954	-1.640068522235155	2	2	0.06362306398608275	-9.547891843797153	2	2
AGXT	0.3329288008828586	-0.34750151621387787	3	3	0.117112979797992	-8.255415909806585	3	3
AGXT2	0.10500579743118152	-2.400811053877801	1	1	0.8589978334844708	0.3567824955962961	1	1
