	Diff	Lower	Upper
	Rep1	Rep1	Rep1
	/projects/health_sciences/bms/biochemistry/hughes_lab/AlixGibson/Final_ScreenProcessing/ScreenProcessing/R2/step1/output/count_files/21062D-07-04_S105_L006_R2_001_CRISPRi_v2_human.trim_1_39_reverse.fa_h1_top5_Diff20.counts	/projects/health_sciences/bms/biochemistry/hughes_lab/AlixGibson/Final_ScreenProcessing/ScreenProcessing/R2/step1/output/count_files/21062D-07-02_S103_L006_R2_001_CRISPRi_v2_human.trim_1_39_reverse.fa_h1_top5_Diff20.counts	/projects/health_sciences/bms/biochemistry/hughes_lab/AlixGibson/Final_ScreenProcessing/ScreenProcessing/R2/step1/output/count_files/21062D-07-01_S102_L006_R2_001_CRISPRi_v2_human.trim_1_39_reverse.fa_h1_top5_Diff20.counts
sgId			
AADACL2_+_151451732.23-P1P2	0	0	0
AADACL2_+_151451926.23-P1P2	0	0	0
AADACL2_+_151452121.23-P1P2	0	0	0
AADACL2_-_151451828.23-P1P2	1214	2	3
AADACL2_-_151451961.23-P1P2	0	0	0
AADAT_+_171010904.23-P1P2	1974	2054	5
AADAT_+_171010929.23-P1P2	827	1	3
AADAT_+_171011392.23-P1P2	2221	0	2391
AADAT_-_171011321.23-P1P2	0	0	0
AADAT_-_171011368.23-P1P2	7631	1699	469
AAK1_+_69870290.23-P1P2	2045	2727	2495
AAK1_+_69870701.23-P1P2	2995	8	5538
AAK1_-_69870541.23-P1P2	2556	4	1090
AAK1_-_69870791.23-P1P2	2154	6	2955
AAK1_-_69870794.23-P1P2	1591	1	0
AANAT_+_74463718.23-P1P2	0	0	0
AANAT_+_74463735.23-P1P2	0	0	0
AANAT_+_74464088.23-P1P2	1768	1	1
AANAT_-_74464175.23-P1P2	1502	6	3968
AANAT_-_74464185.23-P1P2	0	0	0
AARS2_+_44280650.23-P1P2	1476	2297	2159
AARS2_+_44281006.23-P1P2	0	0	0
AARS2_+_44281027.23-P1P2	0	0	0
AARS2_+_44281044.23-P1P2	0	0	0
AARS2_+_44281056.23-P1P2	0	0	0
AARS_+_70323318.23-P1P2	0	0	0
AARS_+_70323322.23-P1P2	0	0	0
AARS_+_70323353.23-P1P2	0	0	0
AARS_+_70323362.23-P1P2	0	0	0
AARS_-_70323332.23-P1P2	0	0	0
AASS_+_121784000.23-P1P2	0	0	0
AASS_+_121784219.23-P1P2	1484	4474	2336
AASS_+_121784247.23-P1P2	0	0	0
AASS_-_121784277.23-P1P2	465	2	2066
AASS_-_121784328.23-P1P2	1217	0	0
AATK_+_79139571.23-ENST00000326724.4	1436	0	0
AATK_+_79139589.23-ENST00000326724.4	0	0	0
AATK_+_79139592.23-ENST00000326724.4	5651	7	1709
AATK_-_79139586.23-ENST00000326724.4	0	0	0
AATK_-_79139956.23-ENST00000326724.4	340	1	1
ABAT_+_8768492.23-P1	2075	5985	1110
ABAT_+_8768682.23-P1	1585	0	0
ABAT_+_8807445.23-P2	1209	1655	4149
ABAT_+_8807450.23-P2	7032	2	3
ABAT_+_8807464.23-P2	3998	0	0
ABAT_+_8807492.23-P2	0	0	0
ABAT_+_8807696.23-P2	1956	2	3454
ABAT_-_8768504.23-P1	2045	0	1055
ABAT_-_8768523.23-P1	791	1362	4103
ABAT_-_8768533.23-P1	1283	0	2651
ABCC2_+_101542515.23-P1P2	0	0	0
ABCC2_+_101542910.23-P1P2	0	0	0
ABCC2_+_101542914.23-P1P2	0	0	0
ABCC2_+_101542981.23-P1P2	1436	3	1517
ABCC2_-_101542808.23-P1P2	0	0	0
ABCC8_+_17497953.23-P1P2	1309	9179	10
ABCC8_+_17498387.23-P1P2	1978	3	1453
ABCC8_-_17497979.23-P1P2	588	2	1637
ABCC8_-_17497997.23-P1P2	843	0	333
ABCC8_-_17498220.23-P1P2	0	0	0
ABCC9_+_22093672.23-P1P2	1551	5	2871
ABCC9_+_22093678.23-P1P2	0	0	0
ABCC9_+_22093937.23-P1P2	0	0	0
ABCC9_+_22093941.23-P1P2	1243	2	857
ABCC9_+_22094309.23-P1P2	0	0	0
ABCE1_+_146019317.23-P1P2	0	0	0
ABCE1_+_146019463.23-P1P2	1160	0	0
ABCE1_+_146019842.23-P1P2	456	1	2078
ABCE1_-_146019502.23-P1P2	0	0	0
ABCE1_-_146019516.23-P1P2	0	0	0
ABCG1_+_43639544.23-P1P2	3995	3	5004
ABCG1_+_43639681.23-P1P2	0	0	0
ABCG1_-_43639282.23-P1P2	4918	2448	5817
ABCG1_-_43639541.23-P1P2	3132	3089	3112
ABCG1_-_43639626.23-P1P2	0	0	0
ABL1_+_133589617.23-ENST00000372348.2	807	0	1
ABL1_+_133589629.23-ENST00000372348.2	0	0	0
ABL1_+_133589636.23-ENST00000372348.2	1501	0	1623
ABL1_-_133589228.23-ENST00000372348.2	853	2505	2
ABL1_-_133589268.23-ENST00000372348.2	1339	4630	3
ABL2_+_179112168.23-P1	1518	589	0
ABL2_+_179112186.23-P1	0	0	0
ABL2_+_179198340.23-P2	3215	3	956
ABL2_+_179198398.23-P2	1272	1	1865
ABL2_+_179198565.23-P2	1514	1	3225
ABL2_+_179198740.23-P2	1354	3	4
ABL2_-_179112151.23-P1	0	0	0
ABL2_-_179112154.23-P1	0	0	0
ABL2_-_179112158.23-P1	1594	1	1989
ABL2_-_179198834.23-P2	1788	0	1516
ABO_+_136150190.23-P1	1446	2188	1687
ABO_+_136150601.23-P1	1424	8763	7693
ABO_-_136130692.23-P2	4901	7608	1691
ABO_-_136130921.23-P2	1495	2	1934
ABO_-_136130955.23-P2	1560	3	0
ABO_-_136130959.23-P2	0	0	0
ABO_-_136130966.23-P2	0	0	0
ABO_-_136150219.23-P1	0	0	0
ABO_-_136150600.23-P1	820	3459	3204
ABO_-_136150606.23-P1	1515	0	1033
ACACA_+_35715534.23-P1P2	3337	4731	3
ACACA_+_35715655.23-P1P2	0	0	0
ACACA_-_35715847.23-P1P2	0	0	0
ACACA_-_35715992.23-P1P2	0	0	0
ACACA_-_35716002.23-P1P2	0	0	0
ACACB_+_109569160.23-P1	0	0	0
ACACB_+_109569170.23-P1	5923	3	1559
ACACB_+_109592574.23-P2	1324	1	3
ACACB_+_109592655.23-P2	0	0	0
ACACB_+_109592908.23-P2	0	0	0
ACACB_-_109569178.23-P1	423	0	2
ACACB_-_109569231.23-P1	1602	1	1
ACACB_-_109569639.23-P1	2207	6334	0
ACACB_-_109592496.23-P2	1562	1	752
ACACB_-_109592519.23-P2	838	0	1
ACAD8_+_134123511.23-P1P2	3640	2	1928
ACAD8_-_134123448.23-P1P2	1056	0	1364
ACAD8_-_134123455.23-P1P2	1131	2	1
ACAD8_-_134123502.23-P1P2	0	0	0
ACAD8_-_134123507.23-P1P2	0	0	0
ACADSB_+_124768874.23-P1P2	1379	4848	2010
ACADSB_+_124768891.23-P1P2	0	0	0
ACADSB_+_124768941.23-P1P2	1247	2634	1
ACADSB_+_124768944.23-P1P2	0	0	0
ACADSB_-_124768552.23-P1P2	2157	11384	4
ACADS_+_121163685.23-P1P2	5456	20630	7
ACADS_+_121164090.23-P1P2	0	0	0
ACADS_-_121163653.23-P1P2	2643	4113	4818
ACADS_-_121163657.23-P1P2	1281	3390	1914
ACADS_-_121163671.23-P1P2	26	11375	5402
ACAN_+_89347139.23-P1P2	545	1	0
ACAN_+_89347148.23-P1P2	0	0	0
ACAN_+_89347151.23-P1P2	0	0	0
ACAN_-_89346701.23-P1P2	0	0	0
ACAN_-_89347101.23-P1P2	1440	3	3557
ACAT1_+_107992288.23-P1P2	0	0	0
ACAT1_+_107992310.23-P1P2	1670	9	5774
ACAT1_+_107992321.23-P1P2	2521	3	3
ACAT1_-_107992364.23-P1P2	1248	0	3435
ACAT1_-_107992733.23-P1P2	3241	4912	4266
ACAT2_+_160183436.23-P1P2	0	0	0
ACAT2_+_160183505.23-P1P2	2934	2	1
ACAT2_-_160183054.23-P1P2	0	0	0
ACAT2_-_160183095.23-P1P2	1347	1	1
ACAT2_-_160183174.23-P1P2	917	0	883
ACCS_+_44087946.23-P1P2	645	1	3956
ACCS_+_44088028.23-P1P2	663	2	0
ACCS_+_44088091.23-P1P2	4621	5696	3560
ACCS_+_44088215.23-P1P2	0	0	0
ACCS_-_44088090.23-P1P2	1089	4507	3
ACE2_+_15619016.23-P1P2	0	0	0
ACE2_+_15619087.23-P1P2	1035	1	1
ACE2_-_15618594.23-P1P2	0	0	0
ACE2_-_15618975.23-P1P2	0	0	0
ACE2_-_15619013.23-P1P2	3171	1	2
ACE_+_61554448.23-P1	3285	4	1676
ACE_+_61554829.23-P1	5467	2227	1407
ACE_+_61562272.23-P2	1504	1	1318
ACE_+_61562293.23-P2	0	0	0
ACE_-_61554428.23-P1	1980	4	2287
ACE_-_61554458.23-P1	5654	5	5355
ACE_-_61554461.23-P1	2804	4326	4775
ACE_-_61562238.23-P2	6276	2	0
ACE_-_61562443.23-P2	4456	2	2
ACE_-_61562661.23-P2	0	0	0
ACHE_+_100493456.23-P1	2090	7246	10507
ACHE_+_100493473.23-P1	1009	0	0
ACHE_+_100494559.23-P2	1691	2318	3
ACHE_+_100494570.23-P2	3551	2666	86
ACHE_-_100493122.23-P1	0	0	0
ACHE_-_100493427.23-P1	0	0	0
ACHE_-_100493486.23-P1	1588	3	568
ACHE_-_100494233.23-P2	2998	2	2
ACHE_-_100494236.23-P2	1055	3	2323
ACHE_-_100494578.23-P2	2502	7	5274
ACOT13_+_24667341.23-P1P2	3809	5812	4
ACOT13_-_24667329.23-P1P2	1944	4043	1655
ACOT13_-_24667371.23-P1P2	1360	0	1
ACOT13_-_24667386.23-P1P2	0	0	0
ACOT13_-_24667473.23-P1P2	2822	2721	3107
ACOX1_+_73975227.23-P1P2	0	0	0
ACOX1_-_73975169.23-P1P2	2380	8492	2064
ACOX1_-_73975193.23-P1P2	3308	2	3
ACOX1_-_73975196.23-P1P2	1260	1	3
ACOX1_-_73975245.23-P1P2	3568	4316	4
ACP1_+_264980.23-P1P2	3719	3	1217
ACP1_+_265303.23-P1P2	0	0	0
ACP1_-_264967.23-P1P2	868	4066	3225
ACP1_-_264970.23-P1P2	0	0	0
ACP1_-_265107.23-P1P2	3213	2436	3
ACP2_+_47270320.23-P1P2	0	0	0
ACP2_+_47270332.23-P1P2	0	0	0
ACP2_-_47269915.23-P1P2	2968	1	1812
ACP2_-_47269958.23-P1P2	1268	0	0
ACP2_-_47270385.23-P1P2	0	0	0
ACP5_+_11688472.23-P1	1702	0	762
ACP5_-_11688086.23-P1	1293	2	1221
ACP5_-_11688414.23-P1	3022	4995	2901
ACP5_-_11688437.23-P1	801	3006	3160
ACP5_-_11688455.23-P1	982	4755	3
ACP5_-_11689356.23-P2	0	0	0
ACP5_-_11689724.23-P2	2154	4	3602
ACP5_-_11689727.23-P2	2775	6	2993
ACP5_-_11689744.23-P2	0	0	0
ACP5_-_11689771.23-P2	2618	1	1420
ACP6_+_147141956.23-P1P2	3941	5283	1126
ACP6_+_147142159.23-P1P2	0	0	0
ACP6_-_147142348.23-P1P2	1819	1407	0
ACP6_-_147142356.23-P1P2	2604	5137	2900
ACP6_-_147142393.23-P1P2	2157	4915	2045
ACPP_+_132036268.23-P1P2	0	0	0
ACPP_+_132036293.23-P1P2	1254	1	1
ACPP_+_132036338.23-P1P2	0	0	0
