Gene	sgRNA	Lower|beta	Lower|z	Lower|p-value	Lower|fdr	Lower|wald-p-value	Lower|wald-fdr	Upper|beta	Upper|z	Upper|p-value	Upper|fdr	Upper|wald-p-value	Upper|wald-fdr
AADACL2	1	-1.4547	-1.1842	0.98522	0.99866	0.23635	0.60412	-3.8896	-3.1713	0.58647	0.9943	0.0015177	0.027541
AADAT	4	3.0821	0.28443	0.54167	0.96267	0.77608	0.99608	0.52208	0.047701	0.96013	0.99767	0.96195	1
AAK1	5	1.3384	0.39779	0.81989	0.99511	0.69078	0.99608	1.9921	0.6165	0.33826	0.97823	0.53757	1
AANAT	1	-2.9016	-2.1643	0.10036	0.96267	0.030443	0.46048	-4.26	-3.1623	0.39695	0.98251	0.0015653	0.028176
AARS2	1	4.9642	0.035034	0.44758	0.96267	0.97205	0.99608	2.8335	0.019997	0.37948	0.98251	0.98405	1
AASS	3	0.47807	1.1803	0.99283	0.99866	0.23788	0.60412	0.11367	0.27366	0.75538	0.9943	0.78434	1
AATK	3	-2.2791	-1.0672	0.24283	0.96267	0.28587	0.67952	0.060233	0.035746	0.6931	0.9943	0.97149	1
ABAT	9	0.21197	2.0021	0.25582	0.96267	0.045275	0.47176	0.06349	0.59169	0.99373	0.9991	0.55406	1
ABCC2	1	-1.3506	-0.12066	0.92384	0.99764	0.90396	0.99608	2.5102	0.2237	0.58244	0.9943	0.82299	1
ABCC8	4	0.19998	1.4199	0.6353	0.99511	0.15564	0.52303	0.014452	0.10127	0.40367	0.98362	0.91933	1
ABCC9	2	-1.6723	-0.21925	0.64337	0.99511	0.82645	0.99608	2.6001	0.35387	0.30376	0.97823	0.72344	1
ABCE1	2	-2.2333	-0.4888	0.39158	0.96267	0.62498	0.99608	1.8272	0.42419	0.64606	0.9943	0.67143	1
ABCG1	3	3.5479	0.18088	0.50941	0.96267	0.85646	0.99608	2.6342	0.13431	0.18907	0.93333	0.89316	1
ABL1	4	4.7193	0.082072	0.13754	0.96267	0.93459	0.99608	0.50267	0.0085265	0.96685	0.99909	0.9932	1
ABL2	7	0.87449	0.31429	0.74194	0.99511	0.7533	0.99608	2.0989	0.7809	0.20923	0.94036	0.43486	1
ABO	7	4.0442	0.20616	0.19758	0.96267	0.83666	0.99608	2.2002	0.11221	0.16891	0.93333	0.91066	1
ACACA	1	4.8531	0.03854	0.48029	0.96267	0.96926	0.99608	-4.4994	-0.035849	0.29256	0.97823	0.9714	1
ACACB	7	0.1523	1.4614	0.17249	0.96267	0.1439	0.52303	0.0097698	0.092413	0.097222	0.92557	0.92637	1
ACAD8	3	-2.2622	-0.94281	0.24866	0.96267	0.34578	0.80729	1.4986	0.68852	0.7164	0.9943	0.49112	1
ACADSB	3	5.7545	0.036083	0.021953	0.81667	0.97122	0.99608	0.78543	0.0048912	0.98477	0.99909	0.9961	1
ACADS	4	5.9357	0.038865	0.0040323	0.68421	0.969	0.99608	2.9778	0.019497	0.044355	0.92557	0.98444	1
ACAN	2	-1.6718	-0.32211	0.64337	0.99511	0.74737	0.99608	1.9199	0.4358	0.61514	0.9943	0.66298	1
ACAT1	4	2.0845	0.2595	0.71281	0.99511	0.79525	0.99608	2.64	0.33378	0.12366	0.92557	0.73855	1
ACAT2	3	-2.8407	-2.4487	0.072133	0.96267	0.014337	0.36781	-0.31665	-0.30995	0.21192	0.94036	0.7566	1
ACCS	4	4.3772	0.10591	0.2164	0.96267	0.91565	0.99608	2.1231	0.051277	0.32796	0.97823	0.95911	1
ACE2	2	-2.3886	-2.4038	0.30645	0.96267	0.016225	0.38526	-4.2083	-4.2375	0.17921	0.93333	2.2605e-05	0.00069114
ACE	8	1.2623	0.7416	0.65726	0.99511	0.45833	0.99608	1.3734	0.82216	0.51523	0.9943	0.41099	1
ACHE	8	0.2686	2.0741	0.54525	0.96434	0.038067	0.46048	0.067231	0.51276	0.97491	0.99909	0.60812	1
ACOT13	4	4.1174	0.14855	0.28943	0.96267	0.88191	0.99608	0.95664	0.034241	0.83602	0.9943	0.97268	1
ACOX1	4	0.27284	1.8401	0.80735	0.99511	0.065761	0.4781	0.0073163	0.048761	0.28136	0.97823	0.96111	1
ACP1	3	3.958	0.14048	0.41129	0.96267	0.88828	0.99608	1.4827	0.052622	0.72581	0.9943	0.95803	1
ACP2	2	-3.0113	-1.9639	0.042563	0.94231	0.049536	0.47176	0.68791	0.48972	0.92966	0.9943	0.62434	1
ACP5	8	3.337	0.30352	0.34767	0.96267	0.76149	0.99608	2.375	0.21641	0.091846	0.92557	0.82867	1
ACP6	4	4.8178	0.10461	0.11783	0.96267	0.91669	0.99608	1.4033	0.030431	0.68504	0.9943	0.97572	1
ACPP	3	-2.6179	-1.7165	0.12993	0.96267	0.086071	0.52303	-0.048226	-0.038568	0.27643	0.97823	0.96923	1
ACPT	1	5.2699	0.027501	0.33871	0.96267	0.97806	0.99608	2.0021	0.010448	0.83289	0.9943	0.99166	1
ACSL1	4	0.0039843	0.045553	0.32124	0.96267	0.96367	0.99608	0.13529	1.4714	0.85036	0.9943	0.14118	1
ACSL3	4	0.73919	0.82863	0.92249	0.99764	0.40732	0.93053	-1.2521	-1.4154	0.06586	0.92557	0.15694	1
ACSL4	3	4.4308	0.089803	0.27509	0.96267	0.92844	0.99608	1.6888	0.03422	0.62052	0.9943	0.9727	1
ACSS2	2	-2.4518	-0.53756	0.26434	0.96267	0.59088	0.99608	2.0153	0.44422	0.57751	0.9943	0.65688	1
ACTA1	6	0.57813	1.5065	0.90233	0.99764	0.13194	0.52303	0.1974	0.50227	0.98029	0.99909	0.61548	1
ACTR2	1	-3.7181	-2.7141	0.0026882	0.68421	0.0066452	0.22818	-5.7427	-4.1913	0.0031362	0.7	2.7741e-05	0.00081472
