Gene	sgRNA	Lower|beta	Lower|z	Lower|p-value	Lower|fdr	Lower|wald-p-value	Lower|wald-fdr	Upper|beta	Upper|z	Upper|p-value	Upper|fdr	Upper|wald-p-value	Upper|wald-fdr
AADACL2	1	-1.4973	-1.2274	0.97806	0.99909	0.21967	0.57496	-3.2428	-2.656	0.79266	0.99612	0.0079064	0.12057
AADAT	4	3.0658	0.28678	0.55575	0.96351	0.77428	0.99584	0.50061	0.046361	0.97806	0.99774	0.96302	1
AAK1	5	1.3087	0.39379	0.81236	0.99211	0.69374	0.99584	1.9856	0.6218	0.34169	0.96571	0.53407	1
AANAT	2	-2.2023	-0.68988	0.41693	0.96351	0.49027	0.99584	1.3948	0.51341	0.79221	0.99612	0.60766	1
AARS2	1	4.9416	0.035661	0.42544	0.96351	0.97155	0.99584	2.8435	0.02052	0.38065	0.96571	0.98363	1
AASS	3	0.48276	1.176	0.97671	0.99909	0.23961	0.58218	0.1159	0.27546	0.77609	0.99612	0.78297	1
AATK	3	-2.3229	-1.106	0.21944	0.96351	0.26873	0.62184	-0.058924	-0.03589	0.27452	0.96571	0.97137	1
ABAT	9	0.21603	1.9993	0.2678	0.96351	0.045571	0.45508	0.065318	0.59665	0.98522	0.99774	0.55074	1
ABCC2	1	-1.3796	-0.12209	0.90596	0.99483	0.90283	0.99584	2.5189	0.22236	0.57949	0.9893	0.82403	1
ABCC8	4	0.20378	1.4166	0.61935	0.98297	0.1566	0.50888	0.014773	0.10138	0.37438	0.96571	0.91925	1
ABCC9	2	-1.3167	-0.17335	0.71429	0.99211	0.86238	0.99584	2.5974	0.35484	0.31706	0.96571	0.72271	1
ABCE1	2	0.0051888	0.021204	0.79534	0.99211	0.98308	0.99584	0.3557	1.2844	0.81729	0.99612	0.19901	1
ABCG1	3	3.5291	0.1832	0.49978	0.96351	0.85464	0.99584	2.6237	0.13621	0.17824	0.96571	0.89166	1
ABL1	4	4.6991	0.083353	0.13704	0.96351	0.93357	0.99584	0.47783	0.008268	0.98522	0.99774	0.9934	1
ABL2	7	0.83465	0.30522	0.73489	0.99211	0.7602	0.99584	2.0851	0.79019	0.22212	0.96571	0.42942	1
ABO	7	4.0309	0.20793	0.21093	0.96351	0.83529	0.99584	2.1954	0.11329	0.17376	0.96571	0.9098	1
ACACA	1	4.8494	0.038655	0.4532	0.96351	0.96917	0.99584	-4.2513	-0.033971	0.41648	0.97525	0.9729	1
ACACB	7	0.15498	1.4591	0.19212	0.96351	0.14455	0.50888	0.010027	0.093086	0.091357	0.96571	0.92584	1
ACAD8	3	-2.3049	-0.96722	0.2266	0.96351	0.33344	0.75821	1.4888	0.68903	0.68697	0.99612	0.49081	1
ACADSB	3	5.7425	0.036383	0.024631	0.87302	0.97098	0.99584	0.76773	0.0048313	0.9588	0.99767	0.99615	1
ACADS	4	0.58984	1.8365	0.94536	0.99483	0.066277	0.46665	0.044827	0.13856	0.71518	0.99612	0.8898	1
ACAN	2	-1.8196	-0.35713	0.59382	0.97801	0.72099	0.99584	1.8989	0.43599	0.61935	0.99612	0.66284	1
ACAT1	4	2.0419	0.25974	0.7425	0.99211	0.79507	0.99584	2.6242	0.33898	0.13748	0.96571	0.73463	1
ACAT2	3	-2.7723	-2.3996	0.084192	0.96351	0.016415	0.3876	-0.33025	-0.32784	0.21182	0.96571	0.74303	1
ACCS	4	4.3498	0.10808	0.22078	0.96351	0.91393	0.99584	2.0972	0.052016	0.33632	0.96571	0.95852	1
ACE2	2	-2.4377	-2.4687	0.28661	0.96351	0.013562	0.34809	-4.2497	-4.3061	0.18137	0.96571	1.6619e-05	0.00053781
ACE	8	1.2277	0.73755	0.64353	0.98316	0.46079	0.99584	1.3614	0.8331	0.515	0.98512	0.40479	1
ACHE	8	0.27203	2.0711	0.57904	0.97585	0.038349	0.44544	0.069016	0.51912	0.94268	0.99767	0.60368	1
ACOT13	4	4.0923	0.15137	0.29422	0.96351	0.87968	0.99584	0.93867	0.034449	0.85625	0.99612	0.97252	1
ACOX1	4	0.27706	1.8382	0.79266	0.99211	0.06603	0.46665	0.0075255	0.049354	0.26422	0.96571	0.96064	1
ACP1	3	3.9387	0.14253	0.39006	0.96351	0.88666	0.99584	1.4781	0.053484	0.69234	0.99612	0.95735	1
ACP2	2	-3.0557	-1.9922	0.042991	0.89189	0.046348	0.45508	0.67885	0.48358	0.95343	0.99767	0.62869	1
ACP5	8	0.28721	2.2664	0.6498	0.98316	0.023429	0.39484	0.063437	0.49467	0.9888	0.99819	0.62084	1
ACP6	4	4.7841	0.10706	0.12136	0.96351	0.91474	0.99584	1.522	0.034025	0.62427	0.99612	0.97286	1
ACPP	3	-2.8092	-2.0879	0.077474	0.96351	0.036807	0.44273	-0.086186	-0.076657	0.26422	0.96571	0.9389	1
ACPT	1	5.2529	0.027882	0.31975	0.96351	0.97776	0.99584	2.0051	0.010643	0.82938	0.99612	0.99151	1
ACSL1	4	0.0042051	0.04681	0.31796	0.96351	0.96266	0.99584	0.13858	1.4686	0.85446	0.99612	0.14195	1
ACSL3	4	0.71016	0.80408	0.93462	0.99483	0.42135	0.9341	-1.2944	-1.4731	0.057322	0.96571	0.14074	1
ACSL4	3	4.4258	0.090095	0.26288	0.96351	0.92821	0.99584	1.6789	0.034168	0.59875	0.99484	0.97274	1
ACSS2	2	-2.3627	-0.51561	0.33542	0.96351	0.60613	0.99584	2.0182	0.44298	0.5674	0.98776	0.65778	1
ACTA1	6	0.5864	1.4974	0.86341	0.99483	0.1343	0.50888	0.2017	0.50323	0.9494	0.99767	0.61481	1
ACTR2	1	-3.7701	-2.7502	0.002687	0.69231	0.0059567	0.21454	-5.787	-4.2207	0.0035826	0.8	2.4353e-05	0.00073487
ACVR1B	2	3.2643	0.17323	0.6292	0.98316	0.86247	0.99584	-4.8197	-0.21524	0.0515	0.96571	0.82958	1
ACVR1C	2	0.015916	0.049861	0.82266	0.99211	0.96023	0.99584	0.43178	1.2082	0.85132	0.99612	0.22699	1
ACVR1	2	0.01255	0.040754	0.81594	0.99211	0.96749	0.99584	0.42033	1.2168	0.8446	0.99612	0.22368	1
ACVR2A	3	0.0018101	0.018869	0.45813	0.96351	0.98495	0.99584	0.14724	1.4618	0.82176	0.99612	0.14379	1
ACVR2B	3	4.3163	0.10751	0.28661	0.96351	0.91439	0.99584	2.0973	0.052236	0.40305	0.97297	0.95834	1
ACVRL1	1	-1.738	-1.3834	0.87953	0.99483	0.16653	0.51099	-3.4837	-2.7706	0.73623	0.99612	0.0055946	0.086157
ACY1	3	4.7963	0.068713	0.17062	0.96351	0.94522	0.99584	2.206	0.031597	0.35468	0.96571	0.97479	1
ACY3	6	0.25115	2.2662	0.61845	0.98297	0.02344	0.39484	0.047924	0.42715	0.81594	0.99612	0.66927	1
ACYP2	3	-1.67	-0.48463	0.40931	0.96351	0.62794	0.99584	1.737	0.56383	0.57501	0.98776	0.57287	1
ADAM33	4	-2.4372	-4.2402	0.14644	0.96351	2.2331e-05	0.011674	-4.6956	-8.158	0.010748	0.92063	3.4073e-16	3.8042e-13
ADAMTS5	4	0.23667	1.9567	0.7219	0.99211	0.050378	0.45508	0.020197	0.16494	0.46932	0.97525	0.86899	1
ADCK1	5	4.521	0.11649	0.13121	0.96351	0.90727	0.99584	-0.54845	-0.01375	0.086879	0.96571	0.98903	1
ADCK2	4	0.13327	1.4654	0.40081	0.96351	0.14282	0.50888	0.023994	0.2601	0.53023	0.98512	0.79478	1
ADCK3	3	4.1191	0.12318	0.34035	0.96351	0.90196	0.99584	2.6168	0.078259	0.18137	0.96571	0.93762	1
ADCK4	3	0.0018026	0.017877	0.45678	0.96351	0.98574	0.99584	0.15401	1.455	0.83162	0.99612	0.14568	1
ADCK5	3	1.5541	0.83373	0.91984	0.99483	0.40443	0.90129	-0.24881	-0.13703	0.22974	0.96571	0.89101	1
ADC	3	4.1867	0.11931	0.32109	0.96351	0.90503	0.99584	-4.2853	-0.11796	0.060457	0.96571	0.9061	1
ADH1C	3	2.4833	0.27944	0.74966	0.99211	0.7799	0.99584	1.9631	0.22106	0.46977	0.97525	0.82504	1
ADH4	2	0.13373	1.4745	0.86789	0.99483	0.14035	0.50888	2.6146e-05	0.00028433	0.44693	0.97525	0.99977	1
ADH5	2	-2.8894	-1.4918	0.079713	0.96351	0.13575	0.50888	0.99644	0.55057	0.93775	0.99767	0.58193	1
ADK	5	0.4846	1.1755	0.96014	0.99861	0.2398	0.58218	0.15728	0.37162	0.94805	0.99767	0.71017	1
ADORA1	3	0.12048	1.4796	0.52127	0.96351	0.13899	0.50888	0.019088	0.23108	0.52799	0.98512	0.81725	1
ADORA2A	3	4.6358	0.082435	0.20421	0.96351	0.9343	0.99584	2.289	0.040701	0.32378	0.96571	0.96753	1
ADORA2B	3	2.4223	0.2593	0.76713	0.99211	0.7954	0.99584	2.5004	0.26925	0.23063	0.96571	0.78774	1
ADORA3	5	0.41209	1.2376	0.97134	0.99908	0.21587	0.57496	0.13096	0.38204	0.91894	0.99612	0.70243	1
ADRA1A	4	0.38016	1.2212	0.91581	0.99483	0.22199	0.57496	0.19095	0.5956	0.91805	0.99612	0.55144	1
ADRA1B	4	3.8852	0.14816	0.35513	0.96351	0.88222	0.99584	1.6556	0.063132	0.55307	0.98776	0.94966	1
ADRA1D	4	3.1693	0.25165	0.53874	0.96351	0.80131	0.99584	1.8875	0.15005	0.43798	0.97525	0.88072	1
ADRA2A	4	0.016605	0.048763	0.32468	0.96351	0.96111	0.99584	0.45882	1.1872	0.99507	0.9991	0.23516	1
ADRA2B	2	-2.2739	-0.95454	0.38334	0.96351	0.33981	0.76957	1.1586	0.57998	0.87147	0.99612	0.56193	1
ADRA2C	4	-2.34	-1.2234	0.17421	0.96351	0.22117	0.57496	1.34	0.8303	0.70891	0.99612	0.40637	1
ADRB1	4	4.3582	0.12762	0.21809	0.96351	0.89845	0.99584	2.6691	0.07817	0.11912	0.96571	0.93769	1
ADRB2	5	2.8624	0.34662	0.56829	0.96877	0.72888	0.99584	1.5537	0.18939	0.55262	0.98776	0.84979	1
ADRB3	5	3.9084	0.15432	0.30184	0.96351	0.87736	0.99584	3.119	0.1233	0.012539	0.92063	0.90187	1
ADRBK1	3	0.12058	1.4809	0.52127	0.96351	0.13863	0.50888	0.016695	0.20212	0.5056	0.98512	0.83982	1
ADRBK2	4	2.7418	0.37399	0.60546	0.98256	0.70841	0.99584	1.45	0.19857	0.65696	0.99612	0.8426	1
ADSSL1	5	2.5314	0.44263	0.62024	0.98297	0.65803	0.99584	1.3722	0.24173	0.63278	0.99612	0.80899	1
AGTR1	3	-2.6681	-1.6777	0.11061	0.96351	0.093402	0.50888	0.12034	0.09685	0.78459	0.99612	0.92285	1
AGTR2	2	-2.4795	-3.0259	0.26556	0.96351	0.0024786	0.12963	-4.51	-5.5038	0.12091	0.96571	3.716e-08	2.6767e-06
AGXT2	1	-2.7107	-0.45659	0.19167	0.96351	0.64797	0.99584	1.939	0.32501	0.85222	0.99612	0.74517	1
AGXT	3	-1.8307	-1.1146	0.37797	0.96351	0.26504	0.61586	-3.962	-2.4324	0.08867	0.96571	0.014998	0.21747
