Gene	sgRNA	eff
AADACL2	AADACL2_-_151451828.23-P1P2	1
AADAT	AADAT_+_171010904.23-P1P2	1
AADAT	AADAT_+_171010929.23-P1P2	1
AADAT	AADAT_+_171011392.23-P1P2	1
AADAT	AADAT_-_171011368.23-P1P2	1
AAK1	AAK1_+_69870290.23-P1P2	1
AAK1	AAK1_+_69870701.23-P1P2	1
AAK1	AAK1_-_69870541.23-P1P2	1
AAK1	AAK1_-_69870791.23-P1P2	1
AAK1	AAK1_-_69870794.23-P1P2	1
AANAT	AANAT_+_74464088.23-P1P2	1
AANAT	AANAT_-_74464175.23-P1P2	1
AARS2	AARS2_+_44280650.23-P1P2	1
AASS	AASS_+_121784219.23-P1P2	1
AASS	AASS_-_121784277.23-P1P2	1
AASS	AASS_-_121784328.23-P1P2	1
AATK	AATK_+_79139571.23-ENST00000326724.4	1
AATK	AATK_+_79139592.23-ENST00000326724.4	1
AATK	AATK_-_79139956.23-ENST00000326724.4	1
ABAT	ABAT_+_8768492.23-P1	1
ABAT	ABAT_+_8768682.23-P1	1
ABAT	ABAT_+_8807445.23-P2	1
ABAT	ABAT_+_8807450.23-P2	1
ABAT	ABAT_+_8807464.23-P2	1
ABAT	ABAT_+_8807696.23-P2	1
ABAT	ABAT_-_8768504.23-P1	1
ABAT	ABAT_-_8768523.23-P1	1
ABAT	ABAT_-_8768533.23-P1	1
ABCC2	ABCC2_+_101542981.23-P1P2	1
ABCC8	ABCC8_+_17497953.23-P1P2	1
ABCC8	ABCC8_+_17498387.23-P1P2	1
ABCC8	ABCC8_-_17497979.23-P1P2	1
ABCC8	ABCC8_-_17497997.23-P1P2	1
ABCC9	ABCC9_+_22093672.23-P1P2	1
ABCC9	ABCC9_+_22093941.23-P1P2	1
ABCE1	ABCE1_+_146019463.23-P1P2	1
ABCE1	ABCE1_+_146019842.23-P1P2	1
ABCG1	ABCG1_+_43639544.23-P1P2	1
ABCG1	ABCG1_-_43639282.23-P1P2	1
ABCG1	ABCG1_-_43639541.23-P1P2	1
ABL1	ABL1_+_133589617.23-ENST00000372348.2	1
ABL1	ABL1_+_133589636.23-ENST00000372348.2	1
ABL1	ABL1_-_133589228.23-ENST00000372348.2	1
ABL1	ABL1_-_133589268.23-ENST00000372348.2	1
ABL2	ABL2_+_179112168.23-P1	1
ABL2	ABL2_+_179198340.23-P2	1
ABL2	ABL2_+_179198398.23-P2	1
ABL2	ABL2_+_179198565.23-P2	1
ABL2	ABL2_+_179198740.23-P2	1
ABL2	ABL2_-_179112158.23-P1	1
ABL2	ABL2_-_179198834.23-P2	1
ABO	ABO_+_136150190.23-P1	1
ABO	ABO_+_136150601.23-P1	1
ABO	ABO_-_136130692.23-P2	1
ABO	ABO_-_136130921.23-P2	1
ABO	ABO_-_136130955.23-P2	1
ABO	ABO_-_136150600.23-P1	1
ABO	ABO_-_136150606.23-P1	1
ACACA	ACACA_+_35715534.23-P1P2	1
ACACB	ACACB_+_109569170.23-P1	1
ACACB	ACACB_+_109592574.23-P2	1
ACACB	ACACB_-_109569178.23-P1	1
ACACB	ACACB_-_109569231.23-P1	1
ACACB	ACACB_-_109569639.23-P1	1
ACACB	ACACB_-_109592496.23-P2	1
ACACB	ACACB_-_109592519.23-P2	1
ACAD8	ACAD8_+_134123511.23-P1P2	1
ACAD8	ACAD8_-_134123448.23-P1P2	1
ACAD8	ACAD8_-_134123455.23-P1P2	1
ACADSB	ACADSB_+_124768874.23-P1P2	1
ACADSB	ACADSB_+_124768941.23-P1P2	1
ACADSB	ACADSB_-_124768552.23-P1P2	1
ACADS	ACADS_+_121163685.23-P1P2	1
ACADS	ACADS_-_121163653.23-P1P2	1
ACADS	ACADS_-_121163657.23-P1P2	1
ACADS	ACADS_-_121163671.23-P1P2	1
ACAN	ACAN_+_89347139.23-P1P2	1
ACAN	ACAN_-_89347101.23-P1P2	1
ACAT1	ACAT1_+_107992310.23-P1P2	1
ACAT1	ACAT1_+_107992321.23-P1P2	1
ACAT1	ACAT1_-_107992364.23-P1P2	1
ACAT1	ACAT1_-_107992733.23-P1P2	1
ACAT2	ACAT2_+_160183505.23-P1P2	1
ACAT2	ACAT2_-_160183095.23-P1P2	1
ACAT2	ACAT2_-_160183174.23-P1P2	1
ACCS	ACCS_+_44087946.23-P1P2	1
ACCS	ACCS_+_44088028.23-P1P2	1
ACCS	ACCS_+_44088091.23-P1P2	1
ACCS	ACCS_-_44088090.23-P1P2	1
ACE2	ACE2_+_15619087.23-P1P2	1
ACE2	ACE2_-_15619013.23-P1P2	1
ACE	ACE_+_61554448.23-P1	1
ACE	ACE_+_61554829.23-P1	1
