sgRNA	Gene	Diff	Lower	Upper
AADACL2_-_151451828.23-P1P2	AADACL2	1214	2	3
AADAT_+_171010904.23-P1P2	AADAT	1974	2054	5
AADAT_+_171010929.23-P1P2	AADAT	827	1	3
AADAT_+_171011392.23-P1P2	AADAT	2221	0	2391
AADAT_-_171011368.23-P1P2	AADAT	7631	1699	469
AAK1_+_69870290.23-P1P2	AAK1	2045	2727	2495
AAK1_+_69870701.23-P1P2	AAK1	2995	8	5538
AAK1_-_69870541.23-P1P2	AAK1	2556	4	1090
AAK1_-_69870791.23-P1P2	AAK1	2154	6	2955
AAK1_-_69870794.23-P1P2	AAK1	1591	1	0
AANAT_+_74464088.23-P1P2	AANAT	1768	1	1
AANAT_-_74464175.23-P1P2	AANAT	1502	6	3968
AARS2_+_44280650.23-P1P2	AARS2	1476	2297	2159
AASS_+_121784219.23-P1P2	AASS	1484	4474	2336
AASS_-_121784277.23-P1P2	AASS	465	2	2066
AASS_-_121784328.23-P1P2	AASS	1217	0	0
AATK_+_79139571.23-ENST00000326724.4	AATK	1436	0	0
AATK_+_79139592.23-ENST00000326724.4	AATK	5651	7	1709
AATK_-_79139956.23-ENST00000326724.4	AATK	340	1	1
ABAT_+_8768492.23-P1	ABAT	2075	5985	1110
ABAT_+_8768682.23-P1	ABAT	1585	0	0
ABAT_+_8807445.23-P2	ABAT	1209	1655	4149
ABAT_+_8807450.23-P2	ABAT	7032	2	3
ABAT_+_8807464.23-P2	ABAT	3998	0	0
ABAT_+_8807696.23-P2	ABAT	1956	2	3454
ABAT_-_8768504.23-P1	ABAT	2045	0	1055
ABAT_-_8768523.23-P1	ABAT	791	1362	4103
ABAT_-_8768533.23-P1	ABAT	1283	0	2651
ABCC2_+_101542981.23-P1P2	ABCC2	1436	3	1517
ABCC8_+_17497953.23-P1P2	ABCC8	1309	9179	10
ABCC8_+_17498387.23-P1P2	ABCC8	1978	3	1453
ABCC8_-_17497979.23-P1P2	ABCC8	588	2	1637
ABCC8_-_17497997.23-P1P2	ABCC8	843	0	333
ABCC9_+_22093672.23-P1P2	ABCC9	1551	5	2871
ABCC9_+_22093941.23-P1P2	ABCC9	1243	2	857
ABCE1_+_146019463.23-P1P2	ABCE1	1160	0	0
ABCE1_+_146019842.23-P1P2	ABCE1	456	1	2078
ABCG1_+_43639544.23-P1P2	ABCG1	3995	3	5004
ABCG1_-_43639282.23-P1P2	ABCG1	4918	2448	5817
ABCG1_-_43639541.23-P1P2	ABCG1	3132	3089	3112
ABL1_+_133589617.23-ENST00000372348.2	ABL1	807	0	1
ABL1_+_133589636.23-ENST00000372348.2	ABL1	1501	0	1623
ABL1_-_133589228.23-ENST00000372348.2	ABL1	853	2505	2
ABL1_-_133589268.23-ENST00000372348.2	ABL1	1339	4630	3
ABL2_+_179112168.23-P1	ABL2	1518	589	0
ABL2_+_179198340.23-P2	ABL2	3215	3	956
ABL2_+_179198398.23-P2	ABL2	1272	1	1865
ABL2_+_179198565.23-P2	ABL2	1514	1	3225
ABL2_+_179198740.23-P2	ABL2	1354	3	4
ABL2_-_179112158.23-P1	ABL2	1594	1	1989
ABL2_-_179198834.23-P2	ABL2	1788	0	1516
ABO_+_136150190.23-P1	ABO	1446	2188	1687
ABO_+_136150601.23-P1	ABO	1424	8763	7693
ABO_-_136130692.23-P2	ABO	4901	7608	1691
ABO_-_136130921.23-P2	ABO	1495	2	1934
ABO_-_136130955.23-P2	ABO	1560	3	0
ABO_-_136150600.23-P1	ABO	820	3459	3204
ABO_-_136150606.23-P1	ABO	1515	0	1033
ACACA_+_35715534.23-P1P2	ACACA	3337	4731	3
ACACB_+_109569170.23-P1	ACACB	5923	3	1559
ACACB_+_109592574.23-P2	ACACB	1324	1	3
ACACB_-_109569178.23-P1	ACACB	423	0	2
ACACB_-_109569231.23-P1	ACACB	1602	1	1
ACACB_-_109569639.23-P1	ACACB	2207	6334	0
ACACB_-_109592496.23-P2	ACACB	1562	1	752
ACACB_-_109592519.23-P2	ACACB	838	0	1
ACAD8_+_134123511.23-P1P2	ACAD8	3640	2	1928
ACAD8_-_134123448.23-P1P2	ACAD8	1056	0	1364
ACAD8_-_134123455.23-P1P2	ACAD8	1131	2	1
ACADSB_+_124768874.23-P1P2	ACADSB	1379	4848	2010
ACADSB_+_124768941.23-P1P2	ACADSB	1247	2634	1
ACADSB_-_124768552.23-P1P2	ACADSB	2157	11384	4
ACADS_+_121163685.23-P1P2	ACADS	5456	20630	7
ACADS_-_121163653.23-P1P2	ACADS	2643	4113	4818
ACADS_-_121163657.23-P1P2	ACADS	1281	3390	1914
ACADS_-_121163671.23-P1P2	ACADS	26	11375	5402
ACAN_+_89347139.23-P1P2	ACAN	545	1	0
ACAN_-_89347101.23-P1P2	ACAN	1440	3	3557
ACAT1_+_107992310.23-P1P2	ACAT1	1670	9	5774
ACAT1_+_107992321.23-P1P2	ACAT1	2521	3	3
ACAT1_-_107992364.23-P1P2	ACAT1	1248	0	3435
ACAT1_-_107992733.23-P1P2	ACAT1	3241	4912	4266
ACAT2_+_160183505.23-P1P2	ACAT2	2934	2	1
ACAT2_-_160183095.23-P1P2	ACAT2	1347	1	1
