index,epsilon,pvalue,gene,product
NTC_766,1.9897133333333332,0.007372401614980067,NTC,4.242846833264159
KRT12,1.8398172666666666,0.01168770453482936,KRT12,3.5550251373752793
NTC_1651,1.6218433333333333,0.010846007702948005,NTC,3.1864844006337507
PDE1B,1.9665611666666667,0.026180458158017762,PDE1B,3.111144519810888
PKM,2.1281033333333332,0.03645071767479335,PKM,3.0608380779701583
DUSP11,1.8546799999999999,0.02358926919518964,DUSP11,3.0180938962140775
NTC_83,1.6051733333333333,0.013694665289556136,NTC,2.991157965193328
LIMK1,1.97514,0.03175076840440452,LIMK1,2.9592451300677696
NTC_1373,1.6098933333333332,0.015007613416494993,NTC,2.935943742310477
NTC_1359,1.5638766666666666,0.014337888066715933,NTC,2.8830298028863117
NTC_727,1.5947233333333333,0.019634580778898028,NTC,2.7221582313280006
GABRD,1.7066291666666666,0.026180458158017762,GABRD,2.699926180391417
NTC_496,1.38096,0.011369503929409074,NTC,2.6849431959238332
NTC_736,1.2757633333333334,0.009401731947379572,NTC,2.585707090292181
SRPK1,1.6951136666666666,0.02992052360916316,SRPK1,2.583405455448188
GIT1,1.9318704166666667,0.04675081813931744,GIT1,2.5697948626446916
NTC_742,1.8087033333333333,0.03850601878524111,NTC,2.5583591028704675
SPR,1.8654496666666667,0.043478260869565216,SPR,2.54023473778974
TNK1,1.8616626666666667,0.043478260869565216,TNK1,2.5350778744747413
NTC_259,1.79176,0.03850601878524111,NTC,2.5343932427609404
SEC14L2,2.289493333333333,0.07870549968667004,SEC14L2,2.5275890081875287
PTK7,1.8509976666666665,0.043478260869565216,PTK7,2.5205550471036133
NDUFA4L2,1.8484046666666667,0.043478260869565216,NDUFA4L2,2.51702408682482
ACSL3,1.8337006666666666,0.043478260869565216,ACSL3,2.497001240724017
UCKL1,1.65862,0.03175076840440452,UCKL1,2.4850203821668355
NTC_1447,1.7301199999999999,0.036986175366317486,NTC,2.4774636308877893
PANK2,2.0390731666666664,0.061711079943899017,PANK2,2.466538049109055
MMP13,1.7911566666666665,0.043478260869565216,MMP13,2.4390678916684845
CCL8,1.7827466666666667,0.043478260869565216,CCL8,2.4276157605675768
CDK5,1.7732166666666667,0.043478260869565216,CDK5,2.414638494290329
EPHA1,1.7717366666666665,0.043478260869565216,EPHA1,2.412623137093023
NTC_1521,1.8039933333333333,0.04692462702564964,NTC,2.3967840464826113
ACACB,2.1071366666666664,0.0729312762973352,ACACB,2.395995996138142
NTC_383,1.2998266666666667,0.015007613416494993,NTC,2.3704787696627645
ALLC,2.0632346666666668,0.0729312762973352,ALLC,2.3460756383908405
RIPK4,2.3349366666666667,0.10108621049804542,RIPK4,2.32398133973981
NTC_271,1.53578,0.03272957398220172,NTC,2.2807249055303216
NTC_1664,1.4391233333333333,0.026566268283769803,NTC,2.2675826651795234
LGALS7,1.6565566666666667,0.043478260869565216,LGALS7,2.2557793249405167
NDUFS6,1.5799266666666667,0.037868162692847124,NDUFS6,2.2462224499052637
NTC_1293,1.295381,0.018786125545901613,NTC,2.2360384676538323
NTC_1592,1.7710466666666667,0.054728929287313065,NTC,2.234676661711394
NTC_1654,1.2845866666666668,0.019634580778898028,NTC,2.1927616505188143
S100A13,1.7458686666666665,0.0565684899485741,S100A13,2.177840944751627
NTC_808,1.2874733333333332,0.020516314955451958,NTC,2.1731270665341724
NTC_468,1.1814899999999997,0.015007613416494993,NTC,2.1546695674055454
NTC_447,1.91228,0.07629220917666418,NTC,2.1370107806472523
DUSP13,2.0469216666666665,0.09163160355306217,DUSP13,2.124611991498676
NTC_1828,1.9673399999999999,0.08486166997753507,NTC,2.10758857216883
CHEK2,1.557441,0.04434364835427172,CHEK2,2.107480223854291
NTC_1935,1.2041166666666667,0.017969915177087722,NTC,2.1017302196381795
NTC_1724,1.2111399999999999,0.018786125545901613,NTC,2.090624788934115
TAOK1,1.8276356666666667,0.07466205126674823,TAOK1,2.059562783419007
AK1,1.4660933333333332,0.04159828116140968,AK1,2.0245643704588274
RENBP,1.8902566666666667,0.08508648901355773,RENBP,2.022838128660187
SULT2A1,2.3199410666666664,0.13510986442262737,SULT2A1,2.016754793501383
NTC_961,1.2932433333333333,0.02771176156279807,NTC,2.014014226980069
PASK,1.6070016666666667,0.0565684899485741,PASK,2.004614719750267
NTC_346,1.1942566666666665,0.021432384265385584,NTC,1.9931301968340485
NTC_1411,1.20649,0.02238386699491396,NTC,1.990786781203755
MURC,1.6421016666666666,0.061711079943899017,MURC,1.986346692973202
NTC_630,2.5521233333333333,0.16855248337352358,NTC,1.9734672522496275
RAB8B,3.7265933333333336,0.29699203246695116,RAB8B,1.9648657189924152
PLOD1,2.3250616666666666,0.14305750350631133,PLOD1,1.9634898344028782
SRPK2,2.3218966666666665,0.14305750350631133,SRPK2,1.9608170255845234
NTC_1594,1.1651666666666665,0.02238386699491396,NTC,1.9226006000043443
EIF2AK2,1.6403216666666665,0.06732117812061711,EIF2AK2,1.922208144195176
KRTAP5-3,2.4094466666666667,0.1598877980364656,KRTAP5-3,1.9183645196999852
NTC_1764,1.6613933333333333,0.070981496003698,NTC,1.9086997916079735
IRAK4,2.7629373333333334,0.20812569007191667,IRAK4,1.8834233980042505
NTC_1343,1.7315066666666667,0.0819226054474877,NTC,1.8814486403707802
CRB2,2.2389533333333334,0.1451165289009579,CRB2,1.8768767818143992
AVPR1B,2.2183016666666666,0.14305750350631133,AVPR1B,1.8733321505331952
NTC_1650,1.1579433333333333,0.02439749607906389,NTC,1.8673628087666907
PANK3,1.9001700666666665,0.10869565217391304,PANK3,1.8313607801397254
NTC_1733,1.2411966666666667,0.03551771797360265,NTC,1.7991827665999844
NTC_1253,1.1255566666666668,0.025461909005551182,NTC,1.794260055397278
PFKP,3.1333266666666666,0.26928471248246844,PFKP,1.7853328783427158
NTC_903,2.1941533333333334,0.15377072840829212,NTC,1.7841238438534839
INPPL1,1.6545156666666665,0.08508648901355773,INPPL1,1.7705623971694997
NTC_414,1.5191433333333333,0.06844204686844685,NTC,1.7693113162434329
NTC_525,1.4456233333333333,0.06126837972576061,NTC,1.7531993647141453
NTC_1075,1.1794799999999999,0.03272957398220172,NTC,1.7515981531045486
MARK1,1.4916316666666667,0.06732117812061711,MARK1,1.7479660215868784
NTC_1755,1.9279333333333333,0.1271905185989361,NTC,1.7265515619411962
NTC_1446,1.6479533333333332,0.09099551181146143,NTC,1.7154865069739982
PON1,2.4255416666666667,0.1963534361851332,PON1,1.7147645608470579
NTC_536,1.6923733333333333,0.0974809293134194,NTC,1.7111254039447206
CHRNA5,2.0854516666666667,0.15147265077138847,CHRNA5,1.7093733552589379
NTC_16,1.1399599999999999,0.03272957398220172,NTC,1.6929085958329613
NTC_1398,1.5237866666666666,0.0790666504034117,NTC,1.6792230541070714
PFKFB4,1.5626366666666667,0.08508648901355773,PFKFB4,1.6722390595505332
NTC_136,1.1853533333333335,0.04007861875001354,NTC,1.656042033719096
BMPR1A,1.6392861666666665,0.09817671809256662,BMPR1A,1.6523865054085158
NTC_481,2.5408466666666665,0.2255218446376277,NTC,1.6434485511466208
KCNMB2,1.8525526666666665,0.13043478260869565,KCNMB2,1.6387802811343644
GCAT,1.4199696666666666,0.07076780758556891,GCAT,1.6331983591797132
SLC13A1,2.0485316666666664,0.1598877980364656,SLC13A1,1.631009526453602
NTC_404,1.0845366666666667,0.03140724243175525,NTC,1.6300262833826362
GCDH,1.8429216666666666,0.13510986442262737,GCDH,1.6020756555845663
FCRL2,1.9425266666666665,0.15147265077138847,FCRL2,1.5922226244578321
DCLK3,1.6740566666666665,0.11220196353436185,DCLK3,1.590353068054938
NTC_966,1.9416333333333333,0.15377072840829212,NTC,1.5787931834089624
NTC_1395,1.3332000000000002,0.06844204686844685,NTC,1.5527473906230562
MTMR10,1.4928766666666666,0.09163160355306217,MTMR10,1.5495383724154426
NTC_655,1.0551966666666663,0.034099294957629464,NTC,1.5482421635519676
LRAT,1.8927599666666666,0.15217391304347827,LRAT,1.5476337200209047
NTC_876,1.1076700000000002,0.04007861875001354,NTC,1.5475116388556136
ENPP2,1.7020716666666666,0.12716222533894342,ENPP2,1.5244466683426399
NTC_1014,1.1654966666666664,0.05070110408218685,NTC,1.5092978841564921
NTC_691,1.0802533333333333,0.04007861875001354,NTC,1.5092081633030647
NTC_501,2.5475933333333334,0.2586751735282048,NTC,1.4960620862273883
PAM,1.389533333333333,0.08528089723629931,PAM,1.4856171165064445
TLL2,2.022883333333333,0.18543164930918205,TLL2,1.4803786703816983
NTC_459,1.5273333333333332,0.10789601102845955,NTC,1.476923102706206
NTC_993,1.026463333333333,0.036986175366317486,NTC,1.4698550255318605
NTC_1333,1.1941566666666668,0.05902016213157248,NTC,1.4676180678249573
CELA2A,1.7861066666666665,0.15217391304347827,CELA2A,1.4604276049622729
NTC_1811,1.6747266666666665,0.13562154156307774,NTC,1.4531123032937825
NTC_460,1.0146966666666666,0.036986175366317486,NTC,1.453005622760119
NTC_617,1.0661733333333334,0.04338766183267796,NTC,1.4528037710092472
NTC_807,1.1341099999999997,0.05268284938865627,NTC,1.4497676800268473
NTC_1494,1.0745066666666667,0.045126935839927856,NTC,1.4458176544055732
TSSK3,1.5193416666666666,0.11220196353436185,TSSK3,1.4433738887813652
PRKCDBP,1.8984746666666665,0.17391304347826086,PRKCDBP,1.4422101582245315
CYB5A,1.8901245666666666,0.17391304347826086,CYB5A,1.4358668557545886
NTC_955,1.1223533333333333,0.05268284938865627,NTC,1.4347387715804163
GSTA5,1.6411116666666665,0.13510986442262737,GSTA5,1.426639610796885
PCTP,1.5349601666666666,0.11968209443665263,PCTP,1.4151884823926393
NTC_1057,2.33342,0.2517879366079583,NTC,1.3976370997235574
DYRK4,1.6514666666666666,0.14305750350631133,DYRK4,1.3946460252402795
GLRA1,1.4896533333333333,0.11636477574527768,GLRA1,1.3916020615004279
NTC_1413,1.4595233333333333,0.11155718335859915,NTC,1.3901995647155923
LAT,1.9506556666666666,0.19565217391304346,LAT,1.3820694282520027
GLRX2,1.6864866666666667,0.15217391304347827,GLRX2,1.3789723365163749
PTGER1,1.9442346666666666,0.19565217391304346,PTGER1,1.3775200513678854
NTC_5,1.1202633333333334,0.05902016213157248,NTC,1.3768031905823184
SPINK6,1.9418596666666665,0.19565217391304346,SPINK6,1.37583732747756
MAGI3,2.8406,0.3278774133866491,MAGI3,1.375669912264167
NTC_1924,1.0348666666666664,0.04692462702564964,NTC,1.3749229950424637
ADRA1B,1.7054033333333334,0.1578287726418191,ADRA1B,1.367415962651504
CERK,1.9277306666666667,0.19565217391304346,CERK,1.3658267144895992
MET,1.9132166666666666,0.19565217391304346,MET,1.355543323102575
NTC_356,0.9934866666666665,0.04338766183267796,NTC,1.3537584655847767
NTC_463,1.6919,0.1585843361106538,NTC,1.353079618013605
PPP1R11,1.9033681666666666,0.19565217391304346,PPP1R11,1.3485655099514724
NTC_758,1.4577333333333333,0.11917306592012594,NTC,1.3466859595918441
NTC_430,0.9706466666666667,0.04170536417096981,NTC,1.3393061156231478
CAPNS1,1.8756866666666665,0.19565217391304346,CAPNS1,1.3289527430588235
POR,1.3501776666666667,0.10602488735042226,POR,1.3158725959466773
SCN9A,1.4637816666666665,0.12716222533894342,SCN9A,1.3110241646293994
NTC_835,1.0776209999999997,0.06126837972576061,NTC,1.306899528417468
NTC_1482,1.0905200000000002,0.06358705943077098,NTC,1.3049503199130155
PPEF1,1.8401286666666665,0.19565217391304346,PPEF1,1.3037593552305335
RPS6KB2,1.9651896666666666,0.21739130434782605,RPS6KB2,1.3024448423230353
SLC22A11,1.9487566666666667,0.21598877980364653,SLC22A11,1.2970316536941593
PRKAA1,1.7803116666666665,0.18700327255726973,PRKAA1,1.2963353523041077
NTC_744,0.9388766666666667,0.04338766183267796,NTC,1.2793450363098482
NTC_794,1.6206133333333335,0.16351115716206643,NTC,1.2745355825051028
PTPRB,1.6439716666666666,0.16877045348293593,PTPRB,1.2703027966345148
NTC_711,1.4382866666666667,0.13135359499575763,NTC,1.2679331699034078
PDE9A,1.3862166666666664,0.12178090776163052,PDE9A,1.2675853436229896
GUSB,4.089771666666667,0.49368863955119224,GUSB,1.253706688600752
CXCL10,1.7658766666666665,0.19565217391304346,CXCL10,1.251150675523402
NTC_1245,1.1019566666666667,0.07359768795363787,NTC,1.2486665806327326
NTC_780,0.9891833333333334,0.054728929287313065,NTC,1.2481347616403196
NTC_724,1.01382,0.05902016213157248,NTC,1.2459843763009584
NTC_1299,0.9868566666666666,0.054728929287313065,NTC,1.245199013081323
NTC_872,0.97365,0.05268284938865627,NTC,1.2446467288518224
NME3,1.7499966666666666,0.19565217391304346,NME3,1.2398994522061952
NTC_1553,2.33342,0.2950623685283952,NTC,1.2369136841816928
SULT1A1,1.7442766666666667,0.19565217391304346,SULT1A1,1.2358467445629697
TUBA8,1.7415866666666666,0.19565217391304346,TUBA8,1.2339408383461379
MAP3K4,1.9769946666666667,0.23913043478260865,MAP3K4,1.2284355807292129
NTC_1867,1.0085966666666666,0.06126837972576061,NTC,1.2231893291148717
MTFMT,1.4036066666666667,0.13510986442262737,MTFMT,1.2201734405511182
NTC_1605,1.0058366666666667,0.06126837972576061,NTC,1.2198421015660097
NTC_799,1.0608466666666665,0.070981496003698,NTC,1.2187588399263347
NTC_1487,1.6015433333333333,0.17370957359720418,NTC,1.2174551985678654
BACE1,1.7143966666666666,0.19565217391304346,BACE1,1.214676306734371
NTC_867,0.9495699999999999,0.05268284938865627,NTC,1.213864524537385
NTC_982,1.0975833333333331,0.0790666504034117,NTC,1.209544142533307
NTC_870,1.73386,0.2012730106544035,NTC,1.207138398676868
NTC_454,0.94157,0.05268284938865627,NTC,1.2036378785857447
NTC_479,1.5799133333333333,0.17370957359720418,NTC,1.2010125863719068
SLC6A7,1.6814866666666666,0.19565217391304346,SLC6A7,1.1913590674793788
NTC_1726,1.1105533333333333,0.08486166997753507,NTC,1.1897229325471625
NTC_50,0.9597533333333331,0.05902016213157248,NTC,1.1795364644967539
PROZ,1.8228816666666665,0.22627395979429638,PROZ,1.1764247977544184
NTC_707,1.2908300000000001,0.12313083950837048,NTC,1.1741817712648306
NTC_1749,0.8943233333333331,0.04878219232028562,NTC,1.1731185140876605
TGFBR1,1.7664466666666665,0.21739130434782605,TGFBR1,1.1707263625811442
UGDH,1.5521751666666666,0.17765310892940625,UGDH,1.164794445534812
CEACAM5,2.1134866666666667,0.28260869565217384,CEACAM5,1.1599120846321158
TTBK1,4.537871666666667,0.5563347358578775,TTBK1,1.1556317477289815
NTC_1309,0.9269866666666666,0.05684085800750737,NTC,1.154412996155576
NTC_1431,0.9555966666666665,0.06358705943077098,NTC,1.143496841758498
NTC_110,1.2568266666666665,0.12313083950837048,NTC,1.1432512117316296
PPME1,2.0791366666666664,0.28260869565217384,PPME1,1.1410603072655934
NTC_1754,1.0335999999999999,0.0790666504034117,NTC,1.139034083112073
EEA1,2.0727866666666666,0.28260869565217384,EEA1,1.1375753353215639
NTC_240,0.9488366666666664,0.06358705943077098,NTC,1.1354076144516976
NTC_1085,1.7767866666666665,0.23189727425853268,NTC,1.1277342371377708
AATK,2.0534966666666667,0.28260869565217384,AATK,1.1269887040144253
PROC,1.4375033333333334,0.16445346304198621,PROC,1.126940767285459
NTC_246,1.0499800000000001,0.08486166997753507,NTC,1.1248314216179351
ATP2A1,2.045236666666667,0.28260869565217384,ATP2A1,1.12245549641479
GAPDHS,2.1716366666666667,0.30434782608695643,GAPDHS,1.121932208093365
ESD,2.0288566666666665,0.28260869565217384,ESD,1.1134659152426316
NTC_1483,1.5936266666666667,0.2012730106544035,NTC,1.1095059246356425
SSTR5,1.8420266666666665,0.24993285786756586,SSTR5,1.1092254378094304
NTC_864,1.3416266666666665,0.14906901107957235,NTC,1.109005546908302
M6PR,2.1460566666666665,0.30434782608695643,M6PR,1.1087168179115994
DRD2,2.1443566666666665,0.30434782608695643,DRD2,1.1078385472583938
CD46,2.1438866666666665,0.30434782608695643,CD46,1.1075957312542721
